1764605653921|30|statement|connection 0|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'suno')
1764605656629|31|statement|connection 11|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%port%')
1764605657801|27|statement|connection 12|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,tenant_id,create_dept,create_by,create_time,update_by,update_time  FROM sys_oss_config           ORDER BY tenant_id ASC|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,tenant_id,create_dept,create_by,create_time,update_by,update_time  FROM sys_oss_config           ORDER BY tenant_id ASC
1764605658143|39|statement|connection 13|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT * FROM mcp_info WHERE status = 1|SELECT * FROM mcp_info WHERE status = 1
1764605658240|78|statement|connection 14|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|UPDATE mcp_info SET status = ? WHERE server_name = ?|UPDATE mcp_info SET status = true WHERE server_name = 'howtocook-mcp'
1764605658321|40|statement|connection 16|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT 1|SELECT 1
1764605797554|37|statement|connection 17|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                u.krole_group_type,                u.krole_group_ids,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u                  left join sys_dept d on u.dept_id = d.dept_id                  left join sys_user_role sur on u.user_id = sur.user_id                  left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = ?|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                u.krole_group_type,                u.krole_group_ids,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u                  left join sys_dept d on u.dept_id = d.dept_id                  left join sys_user_role sur on u.user_id = sur.user_id                  left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = 1
1764605798440|46|statement|connection 18|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  menu_id,parent_id,menu_name,order_num,path,component,query_param,is_frame,is_cache,menu_type,visible,status,perms,icon,remark,create_dept,create_by,create_time,update_by,update_time  FROM sys_menu      WHERE  (menu_type IN (?,?) AND status = ?) ORDER BY parent_id ASC,order_num ASC|SELECT  menu_id,parent_id,menu_name,order_num,path,component,query_param,is_frame,is_cache,menu_type,visible,status,perms,icon,remark,create_dept,create_by,create_time,update_by,update_time  FROM sys_menu      WHERE  (menu_type IN ('M','C') AND status = '0') ORDER BY parent_id ASC,order_num ASC
1764605799356|31|statement|connection 19|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,tenant_id,contact_user_name,contact_phone,company_name,license_number,address,domain,intro,remark,package_id,expire_time,account_count,status,del_flag,create_dept,create_by,create_time,update_by,update_time  FROM sys_tenant  WHERE del_flag='0'       ORDER BY id ASC|SELECT  id,tenant_id,contact_user_name,contact_phone,company_name,license_number,address,domain,intro,remark,package_id,expire_time,account_count,status,del_flag,create_dept,create_by,create_time,update_by,update_time  FROM sys_tenant  WHERE del_flag='0'       ORDER BY id ASC
1764606333026|37|statement|connection 20|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                u.krole_group_type,                u.krole_group_ids,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u                  left join sys_dept d on u.dept_id = d.dept_id                  left join sys_user_role sur on u.user_id = sur.user_id                  left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = ?|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                u.krole_group_type,                u.krole_group_ids,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u                  left join sys_dept d on u.dept_id = d.dept_id                  left join sys_user_role sur on u.user_id = sur.user_id                  left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = 1
1764606333371|37|statement|connection 21|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  menu_id,parent_id,menu_name,order_num,path,component,query_param,is_frame,is_cache,menu_type,visible,status,perms,icon,remark,create_dept,create_by,create_time,update_by,update_time  FROM sys_menu      WHERE  (menu_type IN (?,?) AND status = ?) ORDER BY parent_id ASC,order_num ASC|SELECT  menu_id,parent_id,menu_name,order_num,path,component,query_param,is_frame,is_cache,menu_type,visible,status,perms,icon,remark,create_dept,create_by,create_time,update_by,update_time  FROM sys_menu      WHERE  (menu_type IN ('M','C') AND status = '0') ORDER BY parent_id ASC,order_num ASC
1764606334297|27|statement|connection 22|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,tenant_id,contact_user_name,contact_phone,company_name,license_number,address,domain,intro,remark,package_id,expire_time,account_count,status,del_flag,create_dept,create_by,create_time,update_by,update_time  FROM sys_tenant  WHERE del_flag='0'       ORDER BY id ASC|SELECT  id,tenant_id,contact_user_name,contact_phone,company_name,license_number,address,domain,intro,remark,package_id,expire_time,account_count,status,del_flag,create_dept,create_by,create_time,update_by,update_time  FROM sys_tenant  WHERE del_flag='0'       ORDER BY id ASC
1764606335712|38|statement|connection 23|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                u.krole_group_type,                u.krole_group_ids,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u                  left join sys_dept d on u.dept_id = d.dept_id                  left join sys_user_role sur on u.user_id = sur.user_id                  left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = ?|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                u.krole_group_type,                u.krole_group_ids,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u                  left join sys_dept d on u.dept_id = d.dept_id                  left join sys_user_role sur on u.user_id = sur.user_id                  left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = 1
1764606335966|36|statement|connection 24|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  menu_id,parent_id,menu_name,order_num,path,component,query_param,is_frame,is_cache,menu_type,visible,status,perms,icon,remark,create_dept,create_by,create_time,update_by,update_time  FROM sys_menu      WHERE  (menu_type IN (?,?) AND status = ?) ORDER BY parent_id ASC,order_num ASC|SELECT  menu_id,parent_id,menu_name,order_num,path,component,query_param,is_frame,is_cache,menu_type,visible,status,perms,icon,remark,create_dept,create_by,create_time,update_by,update_time  FROM sys_menu      WHERE  (menu_type IN ('M','C') AND status = '0') ORDER BY parent_id ASC,order_num ASC
1764606336406|41|statement|connection 25|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,tenant_id,contact_user_name,contact_phone,company_name,license_number,address,domain,intro,remark,package_id,expire_time,account_count,status,del_flag,create_dept,create_by,create_time,update_by,update_time  FROM sys_tenant  WHERE del_flag='0'       ORDER BY id ASC|SELECT  id,tenant_id,contact_user_name,contact_phone,company_name,license_number,address,domain,intro,remark,package_id,expire_time,account_count,status,del_flag,create_dept,create_by,create_time,update_by,update_time  FROM sys_tenant  WHERE del_flag='0'       ORDER BY id ASC
